Interest,Skill,Language,Cert,Project
Web,Beginner,Python,Yes,Fraud Detection
AI,Advanced,Java,No,Sales Prediction
Cybersecurity,Beginner,JavaScript,Yes,Image Classifier
Cybersecurity,Intermediate,Java,No,Voice Assistant
Cybersecurity,Intermediate,JavaScript,No,Voice Assistant
Cybersecurity,Advanced,Python,Yes,Sales Prediction
AI,Beginner,Python,Yes,E-commerce Website
Data Science,Beginner,JavaScript,No,Portfolio Website
AI,Advanced,Python,Yes,Recommendation System
AI,Beginner,Java,No,Stock Prediction
Data Science,Advanced,JavaScript,No,Full Stack App
Data Science,Advanced,Python,Yes,Portfolio Website
Web,Beginner,Java,Yes,Recommendation System
Cybersecurity,Beginner,Python,No,Full Stack App
Data Science,Advanced,JavaScript,Yes,Fraud Detection
Data Science,Beginner,Java,No,Sales Prediction
Web,Beginner,Python,No,E-commerce Website
AI,Advanced,C++,No,AI Assistant
Web,Intermediate,Python,Yes,Network Scanner
Web,Intermediate,Java,No,Chatbot
Web,Intermediate,JavaScript,No,Portfolio Website
AI,Advanced,Java,Yes,Recommendation System
Web,Advanced,Python,No,E-commerce Website
Cybersecurity,Intermediate,JavaScript,Yes,AI Assistant
Data Science,Beginner,Python,Yes,Voice Assistant
Cybersecurity,Advanced,JavaScript,Yes,Chatbot
Web,Advanced,Python,No,Full Stack App
Data Science,Intermediate,Java,No,Fraud Detection
Data Science,Advanced,Java,No,AI Assistant
Cybersecurity,Advanced,Python,Yes,Fraud Detection
Data Science,Beginner,JavaScript,Yes,AI Assistant
Data Science,Advanced,JavaScript,No,Voice Assistant
Data Science,Beginner,Java,No,Fraud Detection
AI,Intermediate,JavaScript,Yes,Network Scanner
Web,Intermediate,Python,No,Sales Prediction
AI,Beginner,C++,Yes,Chatbot
Data Science,Beginner,C++,No,AI Assistant
Data Science,Beginner,JavaScript,Yes,Chatbot
AI,Advanced,Java,Yes,Network Scanner
AI,Advanced,JavaScript,Yes,Voice Assistant
Cybersecurity,Advanced,Java,No,Chatbot
Cybersecurity,Intermediate,Python,Yes,Stock Prediction
Cybersecurity,Beginner,C++,No,Full Stack App
Cybersecurity,Intermediate,Java,Yes,Fraud Detection
AI,Intermediate,Java,Yes,Stock Prediction
Data Science,Advanced,C++,No,Recommendation System
AI,Beginner,JavaScript,Yes,Fraud Detection
Web,Beginner,Python,Yes,Stock Prediction
AI,Beginner,C++,No,E-commerce Website
Cybersecurity,Intermediate,Java,No,Chatbot
Web,Intermediate,C++,No,Full Stack App
Cybersecurity,Advanced,Java,Yes,Image Classifier
Cybersecurity,Beginner,Python,No,Network Scanner
Web,Advanced,Python,Yes,Portfolio Website
AI,Intermediate,Python,Yes,Fraud Detection
Data Science,Beginner,C++,No,Network Scanner
Data Science,Advanced,C++,Yes,Recommendation System
Web,Advanced,Java,Yes,Recommendation System
Data Science,Beginner,JavaScript,No,AI Assistant
AI,Intermediate,Java,No,Image Classifier
AI,Intermediate,JavaScript,No,Recommendation System
Cybersecurity,Intermediate,C++,No,Recommendation System
Web,Intermediate,JavaScript,No,Portfolio Website
AI,Advanced,Python,No,Stock Prediction
Data Science,Intermediate,Python,No,Fraud Detection
Web,Beginner,Java,Yes,AI Assistant
Cybersecurity,Beginner,JavaScript,No,Recommendation System
Data Science,Advanced,C++,No,Full Stack App
AI,Beginner,JavaScript,Yes,Full Stack App
Cybersecurity,Advanced,Java,No,Chatbot
Data Science,Advanced,C++,Yes,Portfolio Website
Data Science,Advanced,Java,No,Sales Prediction
Cybersecurity,Intermediate,JavaScript,Yes,Chatbot
AI,Beginner,Python,No,Fraud Detection
Data Science,Beginner,Java,Yes,AI Assistant
Cybersecurity,Intermediate,JavaScript,Yes,Fraud Detection
Cybersecurity,Advanced,Python,Yes,Voice Assistant
AI,Intermediate,JavaScript,No,Network Scanner
Cybersecurity,Intermediate,Python,No,Recommendation System
AI,Intermediate,JavaScript,Yes,E-commerce Website
AI,Advanced,C++,Yes,Network Scanner
Data Science,Intermediate,JavaScript,Yes,AI Assistant
Cybersecurity,Intermediate,Java,No,Voice Assistant
Cybersecurity,Intermediate,C++,No,Network Scanner
Web,Beginner,C++,No,Image Classifier
Web,Advanced,C++,No,Full Stack App
Data Science,Advanced,Java,No,Portfolio Website
Data Science,Advanced,Java,No,Chatbot
AI,Intermediate,Python,No,Chatbot
Web,Beginner,Python,No,E-commerce Website
AI,Advanced,Java,Yes,Stock Prediction
AI,Intermediate,JavaScript,No,E-commerce Website
AI,Intermediate,JavaScript,No,Fraud Detection
Web,Advanced,Python,Yes,Network Scanner
AI,Advanced,JavaScript,Yes,Image Classifier
Data Science,Intermediate,Java,No,Fraud Detection
Data Science,Advanced,Java,Yes,Voice Assistant
AI,Beginner,C++,Yes,Portfolio Website
Cybersecurity,Intermediate,JavaScript,Yes,Portfolio Website
Cybersecurity,Beginner,Java,No,Portfolio Website
Cybersecurity,Beginner,Java,Yes,Stock Prediction
Cybersecurity,Beginner,JavaScript,Yes,Image Classifier
Cybersecurity,Intermediate,JavaScript,Yes,AI Assistant
AI,Beginner,JavaScript,No,Fraud Detection
Data Science,Advanced,Python,Yes,AI Assistant
Data Science,Advanced,JavaScript,No,Sales Prediction
AI,Beginner,Python,Yes,Image Classifier
AI,Intermediate,C++,No,Voice Assistant
Data Science,Beginner,Python,Yes,Network Scanner
Data Science,Intermediate,C++,No,Stock Prediction
Web,Intermediate,JavaScript,Yes,Stock Prediction
AI,Beginner,JavaScript,Yes,Stock Prediction
Web,Intermediate,JavaScript,No,AI Assistant
Cybersecurity,Beginner,Java,No,Sales Prediction
AI,Intermediate,C++,Yes,Recommendation System
Data Science,Advanced,JavaScript,Yes,Chatbot
AI,Intermediate,Python,Yes,Sales Prediction
Cybersecurity,Beginner,Python,No,Voice Assistant
AI,Beginner,C++,Yes,Fraud Detection
Data Science,Beginner,Python,No,Stock Prediction
Cybersecurity,Beginner,Java,Yes,Recommendation System
Web,Beginner,C++,No,Stock Prediction
AI,Intermediate,C++,No,Chatbot
AI,Beginner,C++,Yes,Fraud Detection
AI,Intermediate,C++,No,Fraud Detection
Web,Advanced,Python,Yes,AI Assistant
Web,Advanced,Java,No,Portfolio Website
Data Science,Advanced,JavaScript,No,Sales Prediction
Cybersecurity,Beginner,Java,No,Network Scanner
Cybersecurity,Intermediate,Java,Yes,E-commerce Website
AI,Beginner,Java,No,Fraud Detection
Cybersecurity,Beginner,C++,Yes,AI Assistant
AI,Advanced,Java,Yes,Sales Prediction
AI,Intermediate,Python,Yes,Fraud Detection
AI,Beginner,JavaScript,Yes,Image Classifier
Web,Intermediate,Java,No,E-commerce Website
Data Science,Beginner,Python,Yes,Chatbot
Cybersecurity,Beginner,Python,No,Fraud Detection
Web,Advanced,Java,Yes,Full Stack App
Cybersecurity,Intermediate,C++,Yes,Network Scanner
Data Science,Beginner,Python,No,AI Assistant
Data Science,Beginner,JavaScript,Yes,AI Assistant
AI,Beginner,C++,Yes,Sales Prediction
Data Science,Beginner,C++,No,Full Stack App
Data Science,Advanced,C++,No,Fraud Detection
Cybersecurity,Beginner,Python,Yes,Chatbot
Web,Beginner,JavaScript,No,Recommendation System
AI,Intermediate,Python,No,Chatbot
Data Science,Beginner,Java,Yes,Network Scanner
Web,Advanced,C++,Yes,Network Scanner
AI,Beginner,JavaScript,Yes,Recommendation System
Cybersecurity,Beginner,C++,No,Portfolio Website
Web,Beginner,C++,Yes,Chatbot
AI,Beginner,Python,Yes,Full Stack App
Cybersecurity,Intermediate,JavaScript,Yes,Full Stack App
Data Science,Advanced,Python,Yes,Image Classifier
Web,Advanced,C++,No,Full Stack App
Data Science,Advanced,Java,No,Image Classifier
Data Science,Advanced,JavaScript,No,AI Assistant
Cybersecurity,Beginner,Java,Yes,E-commerce Website
AI,Advanced,JavaScript,No,Stock Prediction
Web,Intermediate,C++,Yes,AI Assistant
Cybersecurity,Intermediate,Python,No,Full Stack App
Cybersecurity,Beginner,JavaScript,No,AI Assistant
Cybersecurity,Advanced,Java,No,Fraud Detection
AI,Intermediate,Python,No,Network Scanner
Web,Beginner,C++,No,Sales Prediction
AI,Beginner,C++,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,Yes,Image Classifier
Data Science,Advanced,C++,No,Fraud Detection
Web,Intermediate,Python,No,Chatbot
Cybersecurity,Advanced,Java,Yes,Portfolio Website
Cybersecurity,Beginner,C++,No,Fraud Detection
AI,Beginner,Java,No,Recommendation System
Web,Intermediate,Python,No,Sales Prediction
AI,Advanced,Python,Yes,Portfolio Website
Cybersecurity,Advanced,Python,No,E-commerce Website
AI,Advanced,Java,Yes,Chatbot
Data Science,Intermediate,C++,No,Fraud Detection
AI,Beginner,C++,Yes,Chatbot
Cybersecurity,Intermediate,Python,Yes,Network Scanner
Data Science,Intermediate,Java,Yes,Portfolio Website
AI,Beginner,Java,No,Network Scanner
Cybersecurity,Intermediate,C++,Yes,Sales Prediction
Cybersecurity,Beginner,JavaScript,No,Chatbot
AI,Advanced,C++,Yes,Sales Prediction
Web,Advanced,Java,No,Chatbot
Cybersecurity,Intermediate,Python,Yes,Network Scanner
Cybersecurity,Advanced,C++,No,Portfolio Website
Cybersecurity,Beginner,JavaScript,Yes,Stock Prediction
Cybersecurity,Beginner,C++,No,Chatbot
Web,Advanced,Java,Yes,Fraud Detection
Cybersecurity,Advanced,Java,No,Full Stack App
Data Science,Intermediate,Java,Yes,Sales Prediction
Cybersecurity,Beginner,Python,Yes,Full Stack App
AI,Intermediate,Python,No,Network Scanner
Web,Advanced,JavaScript,No,AI Assistant
Data Science,Beginner,Java,Yes,Sales Prediction
Cybersecurity,Beginner,Java,Yes,Recommendation System
Cybersecurity,Intermediate,Java,No,Voice Assistant
Cybersecurity,Beginner,JavaScript,Yes,Sales Prediction
Cybersecurity,Beginner,Java,No,Network Scanner
AI,Beginner,Java,Yes,Recommendation System
Data Science,Beginner,Java,No,AI Assistant
Cybersecurity,Beginner,Python,Yes,Voice Assistant
Cybersecurity,Beginner,C++,Yes,Full Stack App
AI,Intermediate,C++,Yes,E-commerce Website
Data Science,Intermediate,Java,No,Voice Assistant
Cybersecurity,Intermediate,JavaScript,No,E-commerce Website
Data Science,Intermediate,JavaScript,No,Sales Prediction
Cybersecurity,Advanced,C++,No,Portfolio Website
Web,Intermediate,C++,Yes,Image Classifier
Data Science,Advanced,Java,Yes,Portfolio Website
Web,Advanced,JavaScript,No,Stock Prediction
AI,Intermediate,Python,Yes,Portfolio Website
Data Science,Intermediate,JavaScript,No,Full Stack App
AI,Advanced,JavaScript,No,Image Classifier
Web,Beginner,Python,Yes,Fraud Detection
Cybersecurity,Beginner,Java,Yes,E-commerce Website
Data Science,Advanced,C++,Yes,Network Scanner
Web,Beginner,C++,Yes,Recommendation System
Cybersecurity,Beginner,Python,Yes,Voice Assistant
Cybersecurity,Advanced,Python,No,Chatbot
AI,Beginner,Java,No,Chatbot
Web,Intermediate,Java,No,Chatbot
Data Science,Advanced,JavaScript,No,Portfolio Website
Cybersecurity,Intermediate,C++,Yes,Chatbot
Data Science,Intermediate,JavaScript,Yes,Stock Prediction
AI,Advanced,Python,Yes,E-commerce Website
Cybersecurity,Advanced,C++,No,Voice Assistant
Data Science,Advanced,Java,Yes,Sales Prediction
Cybersecurity,Intermediate,Java,No,AI Assistant
Data Science,Beginner,C++,No,Full Stack App
Data Science,Intermediate,JavaScript,Yes,Stock Prediction
Data Science,Beginner,JavaScript,No,Voice Assistant
Cybersecurity,Intermediate,Java,Yes,Network Scanner
AI,Advanced,Java,Yes,Voice Assistant
AI,Advanced,Python,No,Full Stack App
Web,Beginner,C++,No,Sales Prediction
Web,Beginner,Python,Yes,AI Assistant
Cybersecurity,Intermediate,C++,Yes,Fraud Detection
Web,Advanced,Java,No,Chatbot
Cybersecurity,Beginner,JavaScript,No,Fraud Detection
AI,Intermediate,C++,Yes,Network Scanner
Data Science,Intermediate,JavaScript,Yes,Full Stack App
Web,Beginner,Java,Yes,Chatbot
Web,Beginner,Python,No,Fraud Detection
AI,Advanced,JavaScript,Yes,Sales Prediction
Web,Advanced,Python,No,Fraud Detection
Cybersecurity,Beginner,Java,Yes,Fraud Detection
Cybersecurity,Advanced,Python,Yes,Fraud Detection
AI,Intermediate,C++,Yes,AI Assistant
Cybersecurity,Intermediate,JavaScript,Yes,Fraud Detection
Web,Advanced,JavaScript,No,Network Scanner
Web,Advanced,Python,Yes,Chatbot
AI,Intermediate,JavaScript,No,Network Scanner
Web,Beginner,Java,Yes,Network Scanner
AI,Beginner,C++,No,Full Stack App
Cybersecurity,Advanced,Java,Yes,Sales Prediction
Cybersecurity,Intermediate,Java,No,Portfolio Website
AI,Advanced,Java,No,Portfolio Website
Data Science,Beginner,JavaScript,Yes,Recommendation System
Cybersecurity,Intermediate,Java,Yes,Portfolio Website
Data Science,Advanced,C++,No,Network Scanner
Web,Beginner,JavaScript,Yes,Recommendation System
Cybersecurity,Beginner,JavaScript,No,Sales Prediction
Web,Intermediate,C++,Yes,Portfolio Website
AI,Intermediate,JavaScript,No,E-commerce Website
Web,Beginner,C++,Yes,Voice Assistant
Data Science,Beginner,Python,Yes,Sales Prediction
Data Science,Advanced,Python,Yes,Network Scanner
Web,Advanced,C++,No,Recommendation System
Web,Advanced,Python,No,Image Classifier
Web,Intermediate,JavaScript,No,Sales Prediction
Web,Intermediate,Python,Yes,AI Assistant
Data Science,Intermediate,Java,Yes,Portfolio Website
Data Science,Beginner,Python,No,AI Assistant
AI,Beginner,Python,Yes,Chatbot
AI,Intermediate,Java,Yes,Portfolio Website
Cybersecurity,Intermediate,Python,Yes,Sales Prediction
Web,Beginner,Java,No,Portfolio Website
Data Science,Advanced,C++,Yes,Fraud Detection
Data Science,Advanced,C++,Yes,E-commerce Website
Cybersecurity,Intermediate,C++,Yes,Fraud Detection
AI,Intermediate,Python,No,Stock Prediction
AI,Beginner,C++,No,Sales Prediction
Web,Intermediate,Python,No,Voice Assistant
Data Science,Intermediate,Python,No,E-commerce Website
Web,Advanced,C++,No,Stock Prediction
Cybersecurity,Beginner,C++,Yes,Image Classifier
Data Science,Intermediate,C++,No,Recommendation System
Cybersecurity,Advanced,JavaScript,No,Fraud Detection
Data Science,Beginner,Python,No,Sales Prediction
Cybersecurity,Intermediate,Java,Yes,AI Assistant
Web,Advanced,C++,Yes,Sales Prediction
Web,Beginner,C++,Yes,Image Classifier
Cybersecurity,Advanced,Python,No,Portfolio Website
AI,Intermediate,C++,Yes,Sales Prediction
AI,Advanced,C++,Yes,AI Assistant
AI,Intermediate,Java,Yes,Network Scanner
Cybersecurity,Advanced,JavaScript,Yes,Image Classifier
Cybersecurity,Beginner,JavaScript,No,Portfolio Website
Data Science,Beginner,C++,No,Network Scanner
AI,Beginner,C++,Yes,Network Scanner
Cybersecurity,Advanced,Java,No,Full Stack App
Data Science,Beginner,JavaScript,No,AI Assistant
Cybersecurity,Beginner,Java,No,Network Scanner
AI,Advanced,JavaScript,Yes,Network Scanner
AI,Beginner,C++,No,Fraud Detection
Data Science,Intermediate,JavaScript,Yes,Fraud Detection
Cybersecurity,Intermediate,JavaScript,Yes,Portfolio Website
AI,Beginner,JavaScript,No,Full Stack App
Cybersecurity,Beginner,Python,Yes,Network Scanner
Cybersecurity,Intermediate,C++,No,Recommendation System
AI,Intermediate,JavaScript,Yes,Chatbot
AI,Advanced,Java,Yes,Stock Prediction
Data Science,Advanced,Java,No,AI Assistant
Data Science,Beginner,Python,Yes,Recommendation System
Cybersecurity,Intermediate,Java,Yes,Sales Prediction
Cybersecurity,Beginner,Python,No,Recommendation System
Web,Beginner,JavaScript,Yes,Fraud Detection
AI,Advanced,Java,No,Network Scanner
Web,Beginner,JavaScript,No,Voice Assistant
Data Science,Beginner,Python,No,E-commerce Website
Web,Advanced,Java,Yes,Image Classifier
Cybersecurity,Beginner,C++,Yes,Network Scanner
Cybersecurity,Beginner,C++,No,Fraud Detection
Data Science,Beginner,C++,No,AI Assistant
AI,Intermediate,JavaScript,No,Fraud Detection
Cybersecurity,Advanced,Java,Yes,Recommendation System
Cybersecurity,Intermediate,JavaScript,No,Stock Prediction
Web,Beginner,Python,Yes,Stock Prediction
Cybersecurity,Advanced,JavaScript,Yes,E-commerce Website
AI,Advanced,C++,No,Network Scanner
AI,Intermediate,C++,No,Network Scanner
Web,Intermediate,JavaScript,Yes,Image Classifier
Web,Advanced,Python,No,Image Classifier
Cybersecurity,Intermediate,Python,No,AI Assistant
AI,Beginner,JavaScript,Yes,Sales Prediction
Web,Beginner,Python,No,Voice Assistant
Cybersecurity,Intermediate,Python,No,AI Assistant
Data Science,Advanced,C++,No,AI Assistant
Web,Advanced,C++,No,Chatbot
Web,Beginner,JavaScript,Yes,Network Scanner
Cybersecurity,Intermediate,Python,Yes,E-commerce Website
AI,Intermediate,Python,No,Fraud Detection
Data Science,Beginner,Python,No,Full Stack App
Web,Beginner,JavaScript,No,Full Stack App
Data Science,Intermediate,JavaScript,Yes,Sales Prediction
AI,Beginner,JavaScript,Yes,E-commerce Website
Data Science,Intermediate,Python,Yes,Image Classifier
Cybersecurity,Advanced,Python,Yes,Portfolio Website
Web,Beginner,Python,No,Recommendation System
AI,Advanced,C++,No,Network Scanner
Data Science,Intermediate,Python,No,Stock Prediction
Cybersecurity,Advanced,Python,Yes,Portfolio Website
Cybersecurity,Intermediate,Python,No,Recommendation System
AI,Intermediate,Java,No,Network Scanner
Cybersecurity,Beginner,JavaScript,No,Network Scanner
Data Science,Intermediate,C++,No,Stock Prediction
Data Science,Advanced,C++,Yes,Chatbot
Web,Beginner,JavaScript,Yes,AI Assistant
AI,Intermediate,Python,Yes,Chatbot
Web,Intermediate,Java,Yes,Full Stack App
AI,Advanced,Java,No,Stock Prediction
AI,Advanced,Java,No,Portfolio Website
AI,Advanced,Java,No,E-commerce Website
AI,Beginner,C++,Yes,E-commerce Website
AI,Advanced,C++,No,Fraud Detection
Web,Advanced,C++,Yes,Image Classifier
Web,Intermediate,Python,No,E-commerce Website
Web,Intermediate,Java,No,AI Assistant
Cybersecurity,Intermediate,Python,Yes,Recommendation System
Data Science,Advanced,JavaScript,No,Stock Prediction
AI,Beginner,C++,Yes,Stock Prediction
Cybersecurity,Advanced,Python,No,Image Classifier
Data Science,Beginner,C++,Yes,Portfolio Website
Data Science,Beginner,Java,No,Portfolio Website
Data Science,Intermediate,JavaScript,Yes,Stock Prediction
Web,Beginner,JavaScript,No,Sales Prediction
Data Science,Advanced,JavaScript,No,Fraud Detection
Cybersecurity,Beginner,Java,Yes,Chatbot
AI,Intermediate,Python,No,Portfolio Website
Cybersecurity,Beginner,Python,No,E-commerce Website
AI,Intermediate,C++,Yes,Fraud Detection
AI,Advanced,C++,No,Image Classifier
Cybersecurity,Beginner,Python,No,Voice Assistant
AI,Advanced,Java,Yes,Stock Prediction
Web,Beginner,C++,Yes,AI Assistant
AI,Beginner,Python,No,Network Scanner
Web,Advanced,Python,No,Portfolio Website
Cybersecurity,Beginner,Python,Yes,Full Stack App
Web,Intermediate,JavaScript,Yes,Sales Prediction
Cybersecurity,Advanced,C++,Yes,AI Assistant
AI,Intermediate,C++,Yes,Image Classifier
Web,Intermediate,C++,Yes,Fraud Detection
Data Science,Advanced,JavaScript,No,Portfolio Website
Cybersecurity,Intermediate,C++,Yes,Sales Prediction
Cybersecurity,Beginner,Java,Yes,Voice Assistant
Data Science,Beginner,Python,No,AI Assistant
Web,Intermediate,JavaScript,Yes,Recommendation System
Cybersecurity,Beginner,Java,No,Full Stack App
Web,Advanced,C++,No,Portfolio Website
AI,Advanced,JavaScript,No,Stock Prediction
AI,Beginner,Java,No,Voice Assistant
Cybersecurity,Beginner,C++,No,E-commerce Website
Data Science,Intermediate,Java,No,Network Scanner
Cybersecurity,Intermediate,Python,No,Image Classifier
Data Science,Beginner,Python,Yes,Stock Prediction
Cybersecurity,Advanced,C++,Yes,Voice Assistant
Data Science,Beginner,JavaScript,Yes,Network Scanner
Data Science,Intermediate,JavaScript,No,Fraud Detection
Web,Beginner,C++,No,Fraud Detection
Cybersecurity,Advanced,Java,No,Full Stack App
Cybersecurity,Advanced,Java,No,E-commerce Website
Cybersecurity,Beginner,C++,No,Image Classifier
Web,Intermediate,JavaScript,No,Full Stack App
Cybersecurity,Beginner,C++,No,Stock Prediction
AI,Intermediate,Python,No,Sales Prediction
AI,Beginner,Python,No,Stock Prediction
Data Science,Beginner,Java,No,Portfolio Website
